time (s),Altitude (m),Airspeed (kmh),ax,ay,GForce
148.3333,10277,350,0.15705893265645673,-0.2783866611572043,0.3196351692749743
148.5,10261,350,0.16963988075038494,-0.2628633945574382,0.3128495698243235
148.6667,10246,350,0.01982803800978559,-0.21185837572963556,0.21278421571657266
148.8333,10230,349,-0.0173892347076663,-0.20549480060178119,0.20622923788368158
149.0,10214,349,-0.08077079359129592,-0.14149967386835816,0.16292967440653483
149.1667,10199,349,-0.11605094495440073,-0.15278932230455156,0.1918655749088238
149.3333,10183,343,-0.1400414478813117,-0.14855570414097888,0.20415779279154686
149.5,10167,343,-0.14427506604488438,-0.16972379495884182,0.22275875124781686
149.6667,10151,343,-0.08563161444576825,-0.1863969331585906,0.20512579087846755
149.8333,10134,347,-0.0920604420274893,-0.22617203713980918,0.24419032611933655
150.0,10117,347,-0.05261387278912299,-0.23551287721499328,0.24131832699559833
150.1667,10101,346,-0.06976338636600712,-0.2395784946577891,0.24952912691656876
150.3333,10084,346,-0.03316115775182198,-0.25060818408393876,0.25279265082927266
150.5,10067,345,-0.03782980936077419,-0.22959925184365385,0.23269488804749902
150.6667,10051,344,-0.01867772719223167,-0.22899444924885762,0.2297549026241988
150.8333,10036,344,-0.011033694396892215,-0.24475291685771128,0.2450014953472769
151.0,10020,343,0.06360172146502645,-0.2648881684617556,0.27241681439356535
151.1667,10005,342,0.07615531967179351,-0.25975874123748494,0.2706921431508416
151.3333,9990,341,0.06488052603617434,-0.2718505489046712,0.2794856053511553
151.5,9974,340,0.10215679122640184,-0.24345931130773063,0.2640235714024586
151.6667,9958,340,0.1027473502818278,-0.1649993225154346,0.19437539561500322
151.8333,9942,340,-0.01620811659681438,-0.16584297830890032,0.16663311945103323
152.0,9926,339,-0.08994363294570318,-0.1275892141880481,0.15610529998880562
152.1667,9910,339,-0.09920751785201513,-0.13216750479811767,0.165258527534643
152.3333,9894,339,-0.1273405933905941,-0.15702294046812423,0.20216782770343233
152.5,9878,339,-0.12067970081323982,-0.17407030960677636,0.21181138514011008
